epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.3065,1.14172,1.6025,1.23163,0.91973,0.89449,0.94118,0.60824,1.17873,1.29067,1.71765,0.000237339,0.000237339,0.000237339
2,153.242,0.92585,0.87513,1.09512,0.90715,0.88019,0.91599,0.5578,1.31043,1.0551,1.83654,0.000470633,0.000470633,0.000470633
3,221.83,0.87835,0.70708,1.08164,0.89437,0.84148,0.91147,0.54407,1.2934,0.95516,1.81223,0.000699215,0.000699215,0.000699215
4,289.878,0.8135,0.61174,1.05475,0.94391,0.89363,0.95202,0.64999,1.08264,0.66184,1.62324,0.000692794,0.000692794,0.000692794
5,358.306,0.76681,0.55015,1.03538,0.9273,0.91175,0.95044,0.6282,1.16884,0.69947,1.65164,0.000685726,0.000685726,0.000685726
6,426.24,0.71917,0.51667,1.02295,0.92565,0.9258,0.95742,0.6087,1.20092,0.64335,1.7998,0.000678657,0.000678657,0.000678657
7,494.029,0.69396,0.49181,1.01121,0.95739,0.91761,0.96448,0.68452,1.0319,0.58881,1.52907,0.000671588,0.000671588,0.000671588
8,562.017,0.66775,0.4679,1.0067,0.9584,0.94894,0.97288,0.68262,1.02966,0.55608,1.52299,0.00066452,0.00066452,0.00066452
9,629.756,0.63032,0.43403,0.9906,0.92394,0.90135,0.93959,0.56484,1.33742,0.72002,1.82134,0.000657451,0.000657451,0.000657451
10,697.758,0.62171,0.42548,0.99238,0.93808,0.92819,0.95198,0.64305,1.14087,0.61308,1.66472,0.000650383,0.000650383,0.000650383
11,765.277,0.60835,0.4175,0.98765,0.9575,0.94418,0.96795,0.66624,1.05814,0.55588,1.58437,0.000643314,0.000643314,0.000643314
12,832.496,0.58914,0.40607,0.98017,0.9655,0.93601,0.97537,0.66587,1.13182,0.60812,1.58638,0.000636245,0.000636245,0.000636245
13,900.352,0.57108,0.3937,0.97421,0.95476,0.94214,0.97066,0.6815,1.02818,0.55562,1.55656,0.000629177,0.000629177,0.000629177
14,968.022,0.561,0.38836,0.96833,0.97164,0.93307,0.97541,0.68047,1.06542,0.53233,1.53208,0.000622108,0.000622108,0.000622108
15,1035.81,0.54534,0.37967,0.9654,0.95209,0.947,0.97337,0.68721,1.03058,0.53605,1.52045,0.00061504,0.00061504,0.00061504
16,1103.7,0.5364,0.37312,0.95979,0.97097,0.94418,0.97438,0.69837,1.00305,0.51209,1.51307,0.000607971,0.000607971,0.000607971
17,1171.51,0.53825,0.37105,0.96642,0.97325,0.94099,0.97674,0.70832,0.97421,0.49209,1.46054,0.000600902,0.000600902,0.000600902
18,1239.39,0.53252,0.36517,0.96247,0.9639,0.94894,0.97363,0.68721,1.07034,0.54552,1.52563,0.000593834,0.000593834,0.000593834
19,1307.3,0.52593,0.36329,0.96098,0.9608,0.95115,0.97275,0.7098,0.95991,0.49126,1.44828,0.000586765,0.000586765,0.000586765
20,1377.12,0.51457,0.35058,0.95543,0.97028,0.94554,0.97744,0.72349,0.94632,0.4884,1.43365,0.000579697,0.000579697,0.000579697
21,1448.5,0.50301,0.34684,0.95127,0.97085,0.95224,0.97647,0.72384,0.96807,0.45924,1.44553,0.000572628,0.000572628,0.000572628
22,1516.29,0.50218,0.34797,0.94976,0.97464,0.9401,0.97606,0.7205,0.95942,0.5016,1.43847,0.000565559,0.000565559,0.000565559
23,1583.93,0.49045,0.33516,0.94394,0.97741,0.95711,0.98051,0.72207,0.94588,0.43318,1.46686,0.000558491,0.000558491,0.000558491
24,1652.4,0.48322,0.33111,0.94539,0.96962,0.95235,0.97776,0.73859,0.93206,0.46195,1.42106,0.000551422,0.000551422,0.000551422
25,1720.46,0.48796,0.33682,0.94945,0.97555,0.95079,0.98033,0.72762,0.95571,0.495,1.44339,0.000544354,0.000544354,0.000544354
26,1788.53,0.48114,0.33289,0.94459,0.9743,0.95482,0.97546,0.71064,0.99231,0.48059,1.45693,0.000537285,0.000537285,0.000537285
27,1856.32,0.47718,0.32505,0.9476,0.96463,0.94758,0.97579,0.72523,0.97673,0.49415,1.44227,0.000530216,0.000530216,0.000530216
28,1924.3,0.4593,0.32435,0.93181,0.97881,0.94322,0.98092,0.73956,0.91687,0.45739,1.40566,0.000523148,0.000523148,0.000523148
29,1991.96,0.46405,0.31694,0.94536,0.96747,0.95159,0.97299,0.73683,0.92013,0.4488,1.4068,0.000516079,0.000516079,0.000516079
30,2059.86,0.46447,0.32022,0.94221,0.97982,0.95868,0.97601,0.73088,0.93419,0.46158,1.41919,0.000509011,0.000509011,0.000509011
31,2127.33,0.44755,0.31374,0.93402,0.98168,0.94861,0.97948,0.74421,0.8993,0.42929,1.38787,0.000501942,0.000501942,0.000501942
32,2194.91,0.44778,0.30676,0.93482,0.97908,0.95235,0.98436,0.75827,0.8936,0.42336,1.38295,0.000494873,0.000494873,0.000494873
33,2262.54,0.44731,0.30364,0.93792,0.98283,0.94963,0.98057,0.74612,0.91856,0.44753,1.4154,0.000487805,0.000487805,0.000487805
34,2330.44,0.43415,0.30067,0.92948,0.97761,0.95848,0.98096,0.75312,0.89757,0.43155,1.38082,0.000480736,0.000480736,0.000480736
35,2398.2,0.44286,0.30687,0.93198,0.97504,0.95748,0.9788,0.74784,0.91148,0.44247,1.40355,0.000473668,0.000473668,0.000473668
36,2465.81,0.42634,0.29221,0.92654,0.98036,0.9515,0.9785,0.72916,0.96128,0.44628,1.45297,0.000466599,0.000466599,0.000466599
37,2534.12,0.42805,0.29819,0.92746,0.97553,0.96052,0.98369,0.75262,0.88529,0.42288,1.37564,0.00045953,0.00045953,0.00045953
38,2601.58,0.42313,0.29008,0.93161,0.97512,0.95711,0.98233,0.72437,0.92412,0.4309,1.41333,0.000452462,0.000452462,0.000452462
39,2669.58,0.42638,0.29122,0.92886,0.9753,0.9612,0.98236,0.75543,0.89421,0.41666,1.37147,0.000445393,0.000445393,0.000445393
40,2737.44,0.41525,0.29578,0.92619,0.9757,0.9646,0.98441,0.74607,0.93524,0.43146,1.4031,0.000438325,0.000438325,0.000438325
41,2805.55,0.4141,0.28956,0.9259,0.96653,0.96327,0.98354,0.74441,0.91864,0.4431,1.3807,0.000431256,0.000431256,0.000431256
42,2873.22,0.40029,0.28317,0.9155,0.9764,0.95757,0.98021,0.75787,0.88425,0.41463,1.36657,0.000424187,0.000424187,0.000424187
43,2940.64,0.40683,0.28731,0.92756,0.96893,0.9646,0.98237,0.73957,0.90999,0.44199,1.38393,0.000417119,0.000417119,0.000417119
44,3007.78,0.39921,0.27701,0.92183,0.98452,0.95233,0.98135,0.75642,0.86566,0.40434,1.34221,0.00041005,0.00041005,0.00041005
45,3075.41,0.39768,0.28,0.91781,0.97465,0.96528,0.98311,0.76367,0.87462,0.41241,1.36713,0.000402982,0.000402982,0.000402982
46,3144.45,0.40124,0.28443,0.92277,0.97608,0.96528,0.98306,0.75567,0.89036,0.41301,1.36707,0.000395913,0.000395913,0.000395913
47,3212.25,0.39602,0.27155,0.91604,0.98104,0.96528,0.98586,0.76771,0.86394,0.38914,1.35582,0.000388844,0.000388844,0.000388844
48,3279.87,0.39122,0.27278,0.91841,0.97927,0.96483,0.98432,0.76683,0.85904,0.39324,1.34015,0.000381776,0.000381776,0.000381776
49,3347.56,0.38142,0.26562,0.91178,0.98337,0.95371,0.98352,0.76188,0.86834,0.38813,1.35012,0.000374707,0.000374707,0.000374707
50,3415.11,0.38496,0.2691,0.91446,0.98649,0.95507,0.98392,0.77237,0.86067,0.38741,1.34156,0.000367639,0.000367639,0.000367639
51,3483.06,0.37874,0.26427,0.91575,0.98196,0.96317,0.98614,0.77593,0.84956,0.38388,1.34224,0.00036057,0.00036057,0.00036057
52,3550.39,0.37878,0.26367,0.91239,0.98332,0.95916,0.98471,0.77548,0.85465,0.39224,1.33643,0.000353501,0.000353501,0.000353501
53,3618.12,0.37936,0.26721,0.91656,0.98235,0.95916,0.98294,0.75913,0.86943,0.38044,1.35805,0.000346433,0.000346433,0.000346433
54,3685.6,0.36762,0.25637,0.91192,0.9766,0.96732,0.98627,0.77468,0.86833,0.386,1.34599,0.000339364,0.000339364,0.000339364
55,3753.15,0.3746,0.2625,0.91371,0.98216,0.95984,0.98525,0.77026,0.84697,0.38325,1.34702,0.000332296,0.000332296,0.000332296
56,3821.18,0.37537,0.26061,0.91093,0.98115,0.95673,0.98399,0.7705,0.83746,0.38523,1.329,0.000325227,0.000325227,0.000325227
57,3888.74,0.36118,0.25506,0.90779,0.98055,0.96112,0.98603,0.77857,0.82624,0.37927,1.32653,0.000318158,0.000318158,0.000318158
58,3956.09,0.3674,0.25571,0.90943,0.98157,0.96937,0.98531,0.77294,0.85511,0.36856,1.33374,0.00031109,0.00031109,0.00031109
59,4023.77,0.35443,0.2492,0.90512,0.98199,0.96521,0.98634,0.78041,0.82447,0.35969,1.32013,0.000304021,0.000304021,0.000304021
60,4091.72,0.36072,0.2503,0.91133,0.97959,0.96596,0.98619,0.77627,0.84986,0.36673,1.33054,0.000296953,0.000296953,0.000296953
61,4159.51,0.35735,0.25082,0.90709,0.9848,0.97004,0.98579,0.77577,0.85554,0.36847,1.33453,0.000289884,0.000289884,0.000289884
62,4227.88,0.35774,0.25143,0.90998,0.98333,0.9637,0.98533,0.77683,0.84917,0.37504,1.32893,0.000282815,0.000282815,0.000282815
63,4295.92,0.35527,0.24985,0.90586,0.9794,0.96392,0.98615,0.78017,0.83843,0.36052,1.31996,0.000275747,0.000275747,0.000275747
64,4364.15,0.3433,0.23826,0.90067,0.97873,0.97119,0.98599,0.78142,0.83742,0.35509,1.31411,0.000268678,0.000268678,0.000268678
65,4432.21,0.34924,0.24183,0.91082,0.97601,0.96937,0.98586,0.78279,0.85509,0.36392,1.33278,0.00026161,0.00026161,0.00026161
66,4499.63,0.34386,0.24131,0.90724,0.9794,0.96801,0.98647,0.78719,0.82944,0.36458,1.31428,0.000254541,0.000254541,0.000254541
67,4567.19,0.34534,0.24219,0.90574,0.97414,0.97449,0.98651,0.77787,0.85299,0.36187,1.32432,0.000247472,0.000247472,0.000247472
68,4635.29,0.34434,0.23863,0.90724,0.97584,0.97141,0.98621,0.78557,0.82495,0.35148,1.31263,0.000240404,0.000240404,0.000240404
69,4702.85,0.3405,0.23835,0.90345,0.97753,0.97733,0.98656,0.78564,0.83022,0.34306,1.31748,0.000233335,0.000233335,0.000233335
70,4770.39,0.3359,0.23587,0.90328,0.97492,0.97549,0.98665,0.78456,0.83519,0.35924,1.31663,0.000226267,0.000226267,0.000226267
71,4838.58,0.33672,0.23204,0.90613,0.98116,0.96937,0.9868,0.78535,0.84974,0.37516,1.32722,0.000219198,0.000219198,0.000219198
72,4906.67,0.33572,0.23693,0.89812,0.98164,0.97481,0.9872,0.78569,0.84201,0.35469,1.32068,0.000212129,0.000212129,0.000212129
73,4973.92,0.33763,0.23566,0.90565,0.98476,0.96765,0.98703,0.78657,0.8355,0.35251,1.31112,0.000205061,0.000205061,0.000205061
74,5041.37,0.31988,0.22666,0.89403,0.98005,0.96978,0.98574,0.78636,0.82244,0.35194,1.30457,0.000197992,0.000197992,0.000197992
75,5108.83,0.31662,0.22559,0.89303,0.97872,0.97056,0.98735,0.79023,0.82515,0.35721,1.30649,0.000190924,0.000190924,0.000190924
76,5175.77,0.32889,0.23336,0.90183,0.97938,0.96732,0.98721,0.79506,0.8166,0.35607,1.30287,0.000183855,0.000183855,0.000183855
77,5243,0.31724,0.22511,0.89542,0.97946,0.97396,0.98609,0.7879,0.82289,0.34829,1.30147,0.000176786,0.000176786,0.000176786
78,5310.9,0.30985,0.21678,0.89475,0.98479,0.96962,0.9864,0.79413,0.81999,0.33791,1.29621,0.000169718,0.000169718,0.000169718
79,5379,0.31941,0.22266,0.89833,0.9855,0.97136,0.98664,0.79726,0.80903,0.34411,1.28808,0.000162649,0.000162649,0.000162649
80,5446.77,0.31712,0.22239,0.90001,0.9855,0.97127,0.98661,0.79567,0.81257,0.34437,1.28952,0.000155581,0.000155581,0.000155581
81,5514.61,0.31381,0.22063,0.89065,0.98092,0.97141,0.98596,0.79403,0.82234,0.35698,1.29501,0.000148512,0.000148512,0.000148512
82,5581.87,0.3085,0.21395,0.89222,0.97914,0.97209,0.9871,0.79441,0.81366,0.35423,1.2914,0.000141443,0.000141443,0.000141443
83,5649.72,0.30167,0.21555,0.89132,0.98337,0.97277,0.98737,0.79451,0.8139,0.34951,1.2905,0.000134375,0.000134375,0.000134375
84,5717.35,0.31203,0.21761,0.89805,0.98373,0.97209,0.98629,0.79254,0.81332,0.3424,1.29474,0.000127306,0.000127306,0.000127306
85,5784.84,0.30897,0.21559,0.8916,0.98173,0.97345,0.98609,0.79989,0.80301,0.33745,1.28542,0.000120238,0.000120238,0.000120238
86,5852.11,0.30747,0.21059,0.89139,0.98122,0.97481,0.98548,0.7986,0.80493,0.33731,1.28204,0.000113169,0.000113169,0.000113169
87,5919.56,0.29913,0.20802,0.89399,0.9815,0.9752,0.98649,0.79732,0.81239,0.33915,1.28714,0.0001061,0.0001061,0.0001061
88,5986.98,0.30241,0.21191,0.8974,0.98152,0.9763,0.98668,0.79621,0.8126,0.33963,1.29059,9.90318e-05,9.90318e-05,9.90318e-05
89,6054.58,0.29141,0.20459,0.88842,0.98624,0.97604,0.9874,0.79718,0.80931,0.34049,1.29173,9.19632e-05,9.19632e-05,9.19632e-05
90,6122.24,0.29436,0.20462,0.89213,0.98552,0.97273,0.98776,0.79801,0.81103,0.33729,1.29034,8.48946e-05,8.48946e-05,8.48946e-05
91,6190.02,0.82253,0.39216,1.31383,0.98106,0.97073,0.98615,0.78917,0.80589,0.34441,1.29296,7.7826e-05,7.7826e-05,7.7826e-05
92,6256.68,0.75296,0.3276,1.24279,0.98007,0.97097,0.98588,0.7875,0.7997,0.34175,1.28472,7.07574e-05,7.07574e-05,7.07574e-05
93,6322.82,0.7492,0.3221,1.23856,0.98407,0.96717,0.98586,0.78806,0.79731,0.34305,1.28017,6.36888e-05,6.36888e-05,6.36888e-05
94,6389.02,0.73876,0.31692,1.23425,0.9787,0.96969,0.98472,0.79007,0.79511,0.33913,1.27702,5.66202e-05,5.66202e-05,5.66202e-05
95,6455.31,0.74266,0.31335,1.23366,0.98431,0.9646,0.985,0.78925,0.79131,0.33724,1.27278,4.95516e-05,4.95516e-05,4.95516e-05
96,6522.1,0.72202,0.30812,1.22034,0.98609,0.96549,0.98561,0.79313,0.78662,0.33417,1.27049,4.2483e-05,4.2483e-05,4.2483e-05
97,6588.74,0.72206,0.30291,1.21048,0.98378,0.96664,0.98563,0.79445,0.78607,0.33042,1.26812,3.54144e-05,3.54144e-05,3.54144e-05
98,6654.59,0.70726,0.29792,1.20021,0.98272,0.9676,0.98533,0.7961,0.78193,0.32911,1.26346,2.83458e-05,2.83458e-05,2.83458e-05
99,6720.15,0.70196,0.29981,1.19777,0.98607,0.96394,0.98605,0.7975,0.78251,0.32853,1.26341,2.12772e-05,2.12772e-05,2.12772e-05
100,6786.25,0.70292,0.29246,1.20581,0.98202,0.96869,0.98653,0.79856,0.7811,0.32676,1.26124,1.42086e-05,1.42086e-05,1.42086e-05
